delivery_id,order_id,order_date,estimated_delivery_date,delivered_date,delivery_partner,delivery_status
DLV00001,ORD00001,2025-07-03,2025-07-05,,Ecom Express,Failed
DLV00002,ORD00002,2025-10-15,2025-10-21,,XpressBees,Delayed
DLV00003,ORD00003,2025-01-31,2025-02-02,,DTDC,Failed
DLV00004,ORD00004,2025-09-30,2025-10-06,2025-10-08,Delhivery,Delivered
DLV00005,ORD00005,2025-10-27,2025-11-01,,Delhivery,Out for Delivery
DLV00006,ORD00006,2025-04-03,2025-04-10,,Blue Dart,Out for Delivery
DLV00007,ORD00007,2025-05-03,2025-05-06,,Blue Dart,Failed
DLV00008,ORD00008,2025-10-23,2025-10-30,,Delhivery,Delayed
DLV00009,ORD00009,2025-12-06,2025-12-10,,XpressBees,In Transit
DLV00010,ORD00010,2025-11-19,2025-11-22,2025-11-22,Blue Dart,Delivered
DLV00011,ORD00011,2025-07-01,2025-07-06,,DTDC,In Transit
DLV00012,ORD00012,2025-06-05,2025-06-08,,DTDC,Failed
DLV00013,ORD00013,2025-07-11,2025-07-14,,Ecom Express,Out for Delivery
DLV00014,ORD00014,2025-04-29,2025-05-01,,Blue Dart,In Transit
DLV00015,ORD00015,2025-04-11,2025-04-17,,DTDC,Failed
DLV00016,ORD00016,2025-08-07,2025-08-14,,Blue Dart,Delayed
DLV00017,ORD00017,2025-02-10,2025-02-17,,Delhivery,Delayed
DLV00018,ORD00018,2025-07-21,2025-07-25,,Ecom Express,In Transit
DLV00019,ORD00019,2025-10-12,2025-10-17,,DTDC,Delayed
DLV00020,ORD00020,2025-11-07,2025-11-13,,Delhivery,In Transit
DLV00021,ORD00021,2025-05-11,2025-05-13,,DTDC,In Transit
DLV00022,ORD00022,2025-04-26,2025-04-28,,Blue Dart,Out for Delivery
DLV00023,ORD00023,2025-06-26,2025-06-29,,Blue Dart,Delayed
DLV00024,ORD00024,2025-01-31,2025-02-03,,Ecom Express,Delayed
DLV00025,ORD00025,2025-01-12,2025-01-18,2025-01-21,Delhivery,Delivered
DLV00026,ORD00026,2025-10-17,2025-10-20,,DTDC,Delayed
DLV00027,ORD00027,2025-10-28,2025-11-02,,Delhivery,Out for Delivery
DLV00028,ORD00028,2025-03-12,2025-03-15,,Ecom Express,Delayed
DLV00029,ORD00029,2025-09-14,2025-09-19,,Ecom Express,Out for Delivery
DLV00030,ORD00030,2025-03-28,2025-03-30,,Blue Dart,Failed
DLV00031,ORD00031,2025-01-23,2025-01-30,,Ecom Express,Failed
DLV00032,ORD00032,2025-06-21,2025-06-24,,Ecom Express,Out for Delivery
DLV00033,ORD00033,2025-10-01,2025-10-05,2025-10-08,Ecom Express,Delivered
DLV00034,ORD00034,2025-02-25,2025-02-27,,DTDC,Out for Delivery
DLV00035,ORD00035,2025-12-29,2026-01-03,,DTDC,Delayed
DLV00036,ORD00036,2025-06-28,2025-07-04,,DTDC,In Transit
DLV00037,ORD00037,2025-09-24,2025-09-30,,XpressBees,In Transit
DLV00038,ORD00038,2025-10-15,2025-10-18,2025-10-21,Ecom Express,Delivered
DLV00039,ORD00039,2025-05-20,2025-05-26,,Blue Dart,Out for Delivery
DLV00040,ORD00040,2025-01-04,2025-01-10,2025-01-09,Ecom Express,Delivered
DLV00041,ORD00041,2025-06-05,2025-06-11,,Delhivery,Failed
DLV00042,ORD00042,2025-05-21,2025-05-26,,Blue Dart,Out for Delivery
DLV00043,ORD00043,2025-06-15,2025-06-19,,Blue Dart,Out for Delivery
DLV00044,ORD00044,2025-01-26,2025-01-30,,DTDC,Delayed
DLV00045,ORD00045,2025-02-26,2025-03-05,,Ecom Express,Out for Delivery
DLV00046,ORD00046,2025-04-10,2025-04-12,,Delhivery,Delayed
DLV00047,ORD00047,2025-01-06,2025-01-12,,DTDC,Failed
DLV00048,ORD00048,2025-09-05,2025-09-12,,XpressBees,Failed
DLV00049,ORD00049,2025-07-22,2025-07-24,,Ecom Express,Failed
DLV00050,ORD00050,2025-08-24,2025-08-31,,Ecom Express,Delayed
DLV00051,ORD00051,2025-07-27,2025-07-31,,Ecom Express,Out for Delivery
DLV00052,ORD00052,2025-12-28,2026-01-03,2026-01-04,Ecom Express,Delivered
DLV00053,ORD00053,2025-11-30,2025-12-03,,Ecom Express,Out for Delivery
DLV00054,ORD00054,2025-04-27,2025-04-29,,XpressBees,Out for Delivery
DLV00055,ORD00055,2025-01-25,2025-02-01,,DTDC,Out for Delivery
DLV00056,ORD00056,2025-11-21,2025-11-26,,Delhivery,In Transit
DLV00057,ORD00057,2025-08-26,2025-09-01,2025-09-01,Blue Dart,Delivered
DLV00058,ORD00058,2025-04-09,2025-04-11,,Ecom Express,Out for Delivery
DLV00059,ORD00059,2025-10-15,2025-10-18,2025-10-20,Blue Dart,Delivered
DLV00060,ORD00060,2025-03-23,2025-03-25,,Ecom Express,Delayed
DLV00061,ORD00061,2025-10-19,2025-10-22,,DTDC,In Transit
DLV00062,ORD00062,2025-03-19,2025-03-25,,XpressBees,Delayed
DLV00063,ORD00063,2025-03-12,2025-03-16,,DTDC,In Transit
DLV00064,ORD00064,2025-06-04,2025-06-10,,XpressBees,Out for Delivery
DLV00065,ORD00065,2025-05-23,2025-05-28,,XpressBees,Out for Delivery
DLV00066,ORD00066,2025-09-09,2025-09-16,,XpressBees,Delayed
DLV00067,ORD00067,2025-01-17,2025-01-23,,Blue Dart,In Transit
DLV00068,ORD00068,2025-10-10,2025-10-13,,DTDC,Out for Delivery
DLV00069,ORD00069,2025-03-31,2025-04-02,,DTDC,Delayed
DLV00070,ORD00070,2025-12-13,2025-12-15,2025-12-15,Ecom Express,Delivered
DLV00071,ORD00071,2025-03-09,2025-03-14,,Ecom Express,In Transit
DLV00072,ORD00072,2025-02-12,2025-02-17,,DTDC,Failed
DLV00073,ORD00073,2025-12-27,2026-01-02,2026-01-03,DTDC,Delivered
DLV00074,ORD00074,2025-12-30,2026-01-02,,XpressBees,Out for Delivery
DLV00075,ORD00075,2025-10-12,2025-10-16,,DTDC,Out for Delivery
DLV00076,ORD00076,2025-01-09,2025-01-12,,Delhivery,Delayed
DLV00077,ORD00077,2025-03-07,2025-03-11,,XpressBees,Failed
DLV00078,ORD00078,2025-11-12,2025-11-14,,Ecom Express,Out for Delivery
DLV00079,ORD00079,2025-10-29,2025-10-31,,Delhivery,In Transit
DLV00080,ORD00080,2025-10-15,2025-10-21,,Delhivery,Out for Delivery
DLV00081,ORD00081,2025-03-04,2025-03-07,,XpressBees,In Transit
DLV00082,ORD00082,2025-06-24,2025-06-29,,Blue Dart,Out for Delivery
DLV00083,ORD00083,2025-03-27,2025-03-29,,DTDC,Out for Delivery
DLV00084,ORD00084,2025-05-04,2025-05-07,,Ecom Express,Delayed
DLV00085,ORD00085,2025-07-06,2025-07-13,,Blue Dart,Delayed
DLV00086,ORD00086,2025-12-27,2025-12-29,,Ecom Express,Delayed
DLV00087,ORD00087,2025-02-26,2025-02-28,,Blue Dart,Failed
DLV00088,ORD00088,2025-09-29,2025-10-06,,Ecom Express,Out for Delivery
DLV00089,ORD00089,2025-05-11,2025-05-17,2025-05-19,XpressBees,Delivered
DLV00090,ORD00090,2025-12-25,2025-12-27,,Ecom Express,Delayed
DLV00091,ORD00091,2025-10-07,2025-10-10,,DTDC,Failed
DLV00092,ORD00092,2025-10-17,2025-10-19,,XpressBees,Failed
DLV00093,ORD00093,2025-11-15,2025-11-18,,DTDC,Out for Delivery
DLV00094,ORD00094,2025-07-29,2025-08-02,2025-08-05,Delhivery,Delivered
DLV00095,ORD00095,2025-02-25,2025-03-04,,XpressBees,In Transit
DLV00096,ORD00096,2025-02-19,2025-02-24,,DTDC,Delayed
DLV00097,ORD00097,2025-12-29,2026-01-03,,Ecom Express,Delayed
DLV00098,ORD00098,2025-01-11,2025-01-13,2025-01-15,Delhivery,Delivered
DLV00099,ORD00099,2025-09-17,2025-09-19,,Blue Dart,Failed
DLV00100,ORD00100,2025-02-08,2025-02-10,,Delhivery,Delayed
DLV00101,ORD00101,2025-02-09,2025-02-13,,XpressBees,In Transit
DLV00102,ORD00102,2025-06-26,2025-07-01,2025-06-30,DTDC,Delivered
DLV00103,ORD00103,2025-01-15,2025-01-18,,Blue Dart,Delayed
DLV00104,ORD00104,2025-04-08,2025-04-15,,Delhivery,Delayed
DLV00105,ORD00105,2025-11-13,2025-11-17,2025-11-19,Ecom Express,Delivered
DLV00106,ORD00106,2025-08-08,2025-08-10,,DTDC,In Transit
DLV00107,ORD00107,2025-09-13,2025-09-17,,Blue Dart,In Transit
DLV00108,ORD00108,2025-11-13,2025-11-20,,DTDC,Delayed
DLV00109,ORD00109,2025-09-27,2025-10-03,2025-10-04,Ecom Express,Delivered
DLV00110,ORD00110,2025-09-08,2025-09-12,,Ecom Express,Out for Delivery
DLV00111,ORD00111,2025-07-14,2025-07-17,,Ecom Express,Out for Delivery
DLV00112,ORD00112,2025-07-04,2025-07-09,,Blue Dart,Failed
DLV00113,ORD00113,2025-11-13,2025-11-17,,Ecom Express,Failed
DLV00114,ORD00114,2025-03-15,2025-03-18,,Delhivery,Out for Delivery
DLV00115,ORD00115,2025-06-06,2025-06-08,,XpressBees,Delayed
DLV00116,ORD00116,2025-05-20,2025-05-23,,XpressBees,Failed
DLV00117,ORD00117,2025-01-26,2025-02-01,2025-02-01,XpressBees,Delivered
DLV00118,ORD00118,2025-05-07,2025-05-14,,DTDC,Delayed
DLV00119,ORD00119,2025-04-16,2025-04-21,2025-04-22,Blue Dart,Delivered
DLV00120,ORD00120,2025-02-27,2025-03-05,,Blue Dart,Failed
DLV00121,ORD00121,2025-05-21,2025-05-24,2025-05-25,Ecom Express,Delivered
DLV00122,ORD00122,2025-05-14,2025-05-19,,Delhivery,Delayed
DLV00123,ORD00123,2025-03-28,2025-04-01,,DTDC,Out for Delivery
DLV00124,ORD00124,2025-07-07,2025-07-11,,Blue Dart,Delayed
DLV00125,ORD00125,2025-02-28,2025-03-06,2025-03-07,Delhivery,Delivered
DLV00126,ORD00126,2025-04-12,2025-04-15,2025-04-15,XpressBees,Delivered
DLV00127,ORD00127,2025-03-04,2025-03-11,,XpressBees,Out for Delivery
DLV00128,ORD00128,2025-04-22,2025-04-29,,DTDC,In Transit
DLV00129,ORD00129,2025-03-26,2025-04-02,,Delhivery,Failed
DLV00130,ORD00130,2025-09-27,2025-10-04,,Delhivery,Failed
DLV00131,ORD00131,2025-06-04,2025-06-08,,Delhivery,In Transit
DLV00132,ORD00132,2025-06-27,2025-06-29,,Delhivery,Failed
DLV00133,ORD00133,2025-03-01,2025-03-04,,Delhivery,Delayed
DLV00134,ORD00134,2025-11-04,2025-11-07,,Delhivery,Delayed
DLV00135,ORD00135,2025-07-27,2025-08-01,,DTDC,Failed
DLV00136,ORD00136,2025-01-13,2025-01-15,,DTDC,Failed
DLV00137,ORD00137,2025-10-06,2025-10-13,2025-10-16,Ecom Express,Delivered
DLV00138,ORD00138,2025-04-01,2025-04-08,,XpressBees,Out for Delivery
DLV00139,ORD00139,2025-06-13,2025-06-19,,XpressBees,In Transit
DLV00140,ORD00140,2025-05-01,2025-05-03,,Blue Dart,Failed
DLV00141,ORD00141,2025-09-14,2025-09-19,,Ecom Express,Out for Delivery
DLV00142,ORD00142,2025-03-15,2025-03-22,,Ecom Express,Failed
DLV00143,ORD00143,2025-02-02,2025-02-07,,Blue Dart,Out for Delivery
DLV00144,ORD00144,2025-11-09,2025-11-12,,Ecom Express,In Transit
DLV00145,ORD00145,2025-09-04,2025-09-10,,Delhivery,Failed
DLV00146,ORD00146,2025-09-07,2025-09-10,,Ecom Express,Delayed
DLV00147,ORD00147,2025-09-11,2025-09-18,2025-09-17,XpressBees,Delivered
DLV00148,ORD00148,2025-06-26,2025-06-30,,DTDC,Out for Delivery
DLV00149,ORD00149,2025-09-11,2025-09-16,,Delhivery,In Transit
DLV00150,ORD00150,2025-10-14,2025-10-17,,DTDC,Failed
DLV00151,ORD00151,2025-10-26,2025-11-01,,XpressBees,In Transit
DLV00152,ORD00152,2025-05-17,2025-05-24,,Ecom Express,Failed
DLV00153,ORD00153,2025-03-14,2025-03-21,,Ecom Express,Delayed
DLV00154,ORD00154,2025-10-06,2025-10-08,,Delhivery,Failed
DLV00155,ORD00155,2025-06-05,2025-06-12,2025-06-11,DTDC,Delivered
DLV00156,ORD00156,2025-01-02,2025-01-04,,XpressBees,In Transit
DLV00157,ORD00157,2025-04-11,2025-04-13,2025-04-16,XpressBees,Delivered
DLV00158,ORD00158,2025-05-16,2025-05-21,,Blue Dart,In Transit
DLV00159,ORD00159,2025-01-13,2025-01-18,2025-01-20,Blue Dart,Delivered
DLV00160,ORD00160,2025-11-08,2025-11-14,,XpressBees,Failed
DLV00161,ORD00161,2025-04-08,2025-04-13,,XpressBees,In Transit
DLV00162,ORD00162,2025-12-07,2025-12-10,,XpressBees,Failed
