product_id,brand,category,sub_category,price,rating,review_count
PRD0001,"Konda, Keer and Dhawan",Sports & Fitness,Football,442722.82,3.3,4355
PRD0002,"Sangha, Dhaliwal and Sachdeva",Books,Biography,200708.22,3.6,675
PRD0003,Sanghvi-Nadig,Clothing,Shirts,220983.37,1.3,4597
PRD0004,"Kumar, Bail and Gupta",Grocery,Staples,480235.53,3.7,1248
PRD0005,"Nair, Behl and Uppal",Clothing,Sarees,225689.16,4.3,4622
PRD0006,Keer LLC,Electronics,Televisions,248881.91,5.0,1890
PRD0007,Puri-Sethi,Electronics,Headphones,56943.72,2.1,654
PRD0008,Bora-Mukherjee,Grocery,Snacks,132027.03,2.3,2807
PRD0009,Patel-Sathe,Home & Kitchen,Cookware,343974.7,3.7,1799
PRD0010,"Rattan, Basak and More",Electronics,Gaming Consoles,384455.08,4.9,4522
PRD0011,Mistry PLC,Electronics,Tablets,50487.59,1.2,2351
PRD0012,Rastogi LLC,Toys & Games,Puzzles,423350.6,1.5,1676
PRD0013,"Sabharwal, Gopal and Konda",Sports & Fitness,Cricket,291862.99,4.8,4771
PRD0014,Mangal-Dass,Toys & Games,Puzzles,456289.05,3.0,597
PRD0015,"Suresh, Nori and Karnik",Sports & Fitness,Gym Equipment,77541.35,1.4,4865
PRD0016,"Lala, Sarin and Solanki",Electronics,Headphones,367901.61,2.9,20
PRD0017,Padmanabhan-Loyal,Grocery,Staples,60245.72,1.7,2856
PRD0018,Nath Inc,Clothing,Jeans,253744.03,3.9,2875
PRD0019,Chanda PLC,Books,Self-Help,189955.9,1.4,2826
PRD0020,"Kant, Gopal and Ratti",Home & Kitchen,Storage,62425.19,2.9,2593
PRD0021,Sibal LLC,Grocery,Fruits & Vegetables,72082.89,3.5,3671
PRD0022,Agrawal and Sons,Toys & Games,Puzzles,186224.28,1.3,346
PRD0023,Nagar-Mitter,Beauty & Personal Care,Fragrances,317209.45,3.4,3003
